time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz),,,,,,,,,,,
145.101,0,1,1,-0.02,-0.44,-0.2,-0.4,-0.3,-0.5,,,0,-0.02,,,0,-0.2,,-0.1,-0.4
145.801,0,1,1,0,0.92,-0.2,0.9,-0.2,0.9,,,-0.02,0,,,0,-0.1,,-0.1,0
146.401,0,1,1,-0.02,-0.84,-0.1,-0.8,-0.4,-0.9,,,-0.02,0,,,0,0,,-0.2,-0.1
147.001,0,1,1,-0.02,0.52,-0.3,0.5,0,0.5,,,0,0,,,-0.1,-0.2,,0,0
147.801,0,1,1,0,1,0,1,0,1,,,-0.1,-0.02,,,-0.3,0,,-0.1,0
148.501,0,1,1,-0.1,-0.12,-0.3,-0.1,-0.2,-0.1,,,-0.02,-0.02,,,-0.1,0,,-0.2,-0.1
149.101,0,1,1,-0.02,1,-0.1,1,0,1,,,-0.06,-0.06,,,-0.3,-0.2,,-0.5,-0.1
149.801,0,1,1,-0.06,0.28,0,0.3,-0.3,0.3,,,0,-0.08,,,-0.2,-0.1,,-0.2,0
150.401,0,1,1,0,1,-0.1,1,-0.2,1,,,-0.16,0,,,-0.3,-0.4,,-0.1,-0.4
151.001,0,1,1,-0.16,-0.68,-0.1,-0.7,-0.3,-0.7,,,0,-0.06,,,-0.1,-0.1,,-0.2,-0.1
151.701,0,1,1,0,0.68,0,0.7,-0.2,0.7,,,0,-0.02,,,-0.1,0,,-0.3,0
152.401,0,1,1,0,1,0,1,-0.1,1,,,0,0,,,-0.2,-0.3,,-0.2,-0.2
153.001,0,1,1,0,0.28,-0.1,0.3,-0.1,0.3,,,-0.14,0,,,-0.1,-0.1,,-0.3,-0.1
153.601,0,1,1,-0.14,-0.52,-0.3,-0.5,-0.3,-0.5,,,-0.04,0,,,-0.1,-0.2,,-0.1,-0.1
154.201,0,1,1,-0.04,1,0,1,-0.3,1,,,0,-0.02,,,-0.1,-0.2,,0,-0.3
155.001,0,1,1,0,1,0,1,-0.1,1,,,0,-0.02,,,-0.1,0,,-0.2,0
