time(s),0x031(50Hz),0x121(1000Hz),0x122(50Hz),0x131(500Hz),0x132(500Hz),0x141(100Hz),0x142(100Hz),0x151(100Hz),0x152(100Hz)
244.101,0,0,1,-0.1,-0.04,-0.2,-0.1,-0.1,0
244.801,0,0,1,-0.22,-0.6,-0.3,-0.5,0,-0.6
245.401,0,0,1,-0.18,0.36,-0.2,0.3,-0.2,0.4
246.001,0,0,1,-0.12,0.98,-0.1,1,-0.2,1
246.701,0,0,1,-0.12,0.76,-0.1,0.7,-0.3,0.8
247.401,0,0,1,-0.14,-0.6,-0.3,-0.7,-0.4,-0.6
248.001,0,0,1,-0.16,1,-0.1,1,-0.2,1
248.701,0,0,1,-0.1,-0.2,-0.4,-0.2,-0.2,-0.2
249.301,0,0,1,-0.1,1,0,1,-0.1,1
249.901,0,0,1,-0.18,-0.2,-0.1,-0.1,-0.2,-0.2
250.601,0,0,1,-0.08,1,0,1,0,1
251.301,0,0,1,-0.08,0.6,-0.1,0.5,-0.3,0.6
251.901,0,0,1,-0.14,0.76,0,0,0,0.8
252.501,0,0,1,-0.14,-0.96,-0.2,-1,-0.2,-1
253.201,0,0,1,-0.2,0.36,-0.1,0.4,-0.3,0.4
253.801,0,0,1,-0.12,-0.6,-0.1,-0.7,-0.2,-0.6
254.401,0,0,1,-0.1,1,0,1,0,1
255.101,0,0,1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2
255.801,0,0,1,-0.18,-0.44,-0.4,-0.4,-0.2,-0.4
256.401,0,0,1,-0.16,0.2,-0.1,0.1,-0.1,0.2
257.001,0,0,1,-0.14,1,-0.1,1,-0.5,1
257.701,0,0,1,-0.1,0.6,-0.1,0.5,-0.1,0.6
258.301,0,0,1,-0.1,0.76,0,0.8,-0.2,0.8
