神说 要有光
 
 {  2801.000       ,  9.686          
 },{  168601.000     ,  4.345          
 },{  168901.000     ,  4.353          
 },{  169101.000     ,  4.332          
 },{  169401.000     ,  4.339          
 },{  169601.000     ,  4.345          
 },{  169801.000     ,  4.350          
 },{  170001.000     ,  4.329          
 },{  170301.000     ,  4.337          
 },{  170501.000     ,  4.342          
 },{  170701.000     ,  4.347          
 },{  170901.000     ,  4.352          
 },{  171201.000     ,  4.334          
 },{  171401.000     ,  4.339          
 },{  171601.000     ,  4.344          
 },{  171901.000     ,  4.351          
 },{  172101.000     ,  4.331          
 },{  172301.000     ,  4.336          
 },{  172501.000     ,  4.341          
 },{  172801.000     ,  4.349          
 },{  173001.000     ,  4.328          
 },{  173201.000     ,  4.333          
 },{  173501.000     ,  4.341          
 },{  173701.000     ,  4.346          
 },{  173901.000     ,  4.351          
 },{  174101.000     ,  4.331          
 },{  174401.000     ,  4.338          
 },{  174601.000     ,  4.343          
 },{  174801.000     ,  4.348          
 },{  175001.000     ,  4.328          
 },{  175301.000     ,  4.335          
 },{  175601.000     ,  4.343          
 },{  175801.000     ,  4.347          
 },{  176001.000     ,  4.328          
 },{  176201.000     ,  4.332          
 },{  176501.000     ,  4.340          
 },{  176701.000     ,  4.345          
 },{  176901.000     ,  4.350          
 },{  177201.000     ,  4.332          
 },{  177401.000     ,  4.337          
 },{  177601.000     ,  4.342          
 },{  177801.000     ,  4.347          
 },{  178101.000     ,  4.330          
 },{  178301.000     ,  4.334          
 },{  178501.000     ,  4.339          
 },{  178801.000     ,  4.346          
 },{  179001.000     ,  4.327          
 },{  179201.000     ,  4.332          
 },{  179401.000     ,  4.336          
 },{  179701.000     ,  4.344          
 },{  179901.000     ,  4.348          
 },{  180101.000     ,  4.329          
 },{  180301.000     ,  4.334          
 },{  180601.000     ,  4.341          
 },{  180801.000     ,  4.346          
 },{  181001.000     ,  4.326          
 },{  181301.000     ,  4.334          
 },{  181501.000     ,  4.338          
 },{  181701.000     ,  4.343          
 },{  181901.000     ,  4.348          
 },{  182201.000     ,  4.331          
 },{  182501.000     ,  4.338          
 },{  182701.000     ,  4.343          
 },{  182901.000     ,  4.347          
 },{  183101.000     ,  4.328          
 },{  183401.000     ,  4.335          
 },{  183601.000     ,  4.340          
 },{  183801.000     ,  4.345          
 },{  184001.000     ,  4.326          
 },{  184301.000     ,  4.333          
 },{  184501.000     ,  4.337          
 },{  184701.000     ,  4.342          
 },{  185001.000     ,  4.326          
 },{  185201.000     ,  4.330          
 },{  185401.000     ,  4.335          
 },{  185601.000     ,  4.339          
 },{  185901.000     ,  4.346          
 },{  186101.000     ,  4.328          
 },{  186301.000     ,  4.332          
 },{  186501.000     ,  4.337          
